type,plate_x,plate_z,player_name
S,-0.15,3.37,"Verlander, Justin"
S,-0.38,2.83,"Verlander, Justin"
S,-0.28,3.87,"Verlander, Justin"
B,0.38,-0.6,"Verlander, Justin"
B,-0.69,-0.78,"Verlander, Justin"
S,0.37,3.34,"Verlander, Justin"
S,0.1,2.95,"Verlander, Justin"
X,0.56,2.44,"Verlander, Justin"
S,-0.7,3.46,"Verlander, Justin"
S,0.03,2.41,"Verlander, Justin"
B,2.06,2.21,"Verlander, Justin"
B,1.77,0.36,"Verlander, Justin"
S,-0.36,1.8,"Verlander, Justin"
X,-0.41,3.32,"Verlander, Justin"
S,-0.87,1.97,"Verlander, Justin"
X,0.62,2.45,"Verlander, Justin"
S,-0.1,1.84,"Verlander, Justin"
S,0.18,3.37,"Verlander, Justin"
S,0.29,3.06,"Verlander, Justin"
B,0.31,4.59,"Verlander, Justin"
S,-0.26,2.32,"Verlander, Justin"
B,1.31,2.55,"Verlander, Justin"
S,0.22,2.12,"Verlander, Justin"
S,0.98,2.39,"Verlander, Justin"
S,1.43,0.9,"Verlander, Justin"
S,-0.63,2.16,"Verlander, Justin"
S,0.6,1.69,"Verlander, Justin"
B,-0.51,3.68,"Verlander, Justin"
X,-0.01,2.51,"Verlander, Justin"
B,0.89,1.53,"Verlander, Justin"
S,-0.68,2.36,"Verlander, Justin"
S,0.04,1.67,"Verlander, Justin"
B,0.23,3.4,"Verlander, Justin"
B,-1.2,2.94,"Verlander, Justin"
X,0.69,2.89,"Verlander, Justin"
B,-1.4,3.34,"Verlander, Justin"
S,0.76,2.5,"Verlander, Justin"
X,-0.88,2.68,"Verlander, Justin"
B,1.21,1.38,"Verlander, Justin"
B,-0.28,1.69,"Verlander, Justin"
X,-0.12,2.61,"Verlander, Justin"
S,-0.38,2.08,"Verlander, Justin"
B,0.73,3.03,"Verlander, Justin"
S,-0.98,2.09,"Verlander, Justin"
S,1.21,1.58,"Verlander, Justin"
B,0.83,1.18,"Verlander, Justin"
S,0.37,2.67,"Verlander, Justin"
B,0.93,1.99,"Verlander, Justin"
S,-1.32,2.94,"Verlander, Justin"
B,-1.59,3.0,"Verlander, Justin"
S,1.46,1.89,"Verlander, Justin"
S,-0.01,3.3,"Verlander, Justin"
S,0.61,2.94,"Verlander, Justin"
B,0.65,2.19,"Verlander, Justin"
S,-0.82,2.24,"Verlander, Justin"
X,-0.81,2.44,"Verlander, Justin"
S,-0.53,2.01,"Verlander, Justin"
S,0.89,1.39,"Verlander, Justin"
S,0.06,2.87,"Verlander, Justin"
S,0.15,2.44,"Verlander, Justin"
B,0.97,3.63,"Verlander, Justin"
B,-1.44,2.47,"Verlander, Justin"
S,0.62,2.33,"Verlander, Justin"
S,-0.25,3.32,"Verlander, Justin"
X,0.48,2.06,"Verlander, Justin"
B,1.77,0.6,"Verlander, Justin"
S,-0.19,2.26,"Verlander, Justin"
S,0.26,2.03,"Verlander, Justin"
B,-0.56,4.0,"Verlander, Justin"
S,0.1,2.5,"Verlander, Justin"
S,0.39,1.99,"Verlander, Justin"
B,1.41,1.18,"Verlander, Justin"
S,-0.13,2.12,"Verlander, Justin"
S,-0.3,3.07,"Verlander, Justin"
S,-0.25,3.16,"Verlander, Justin"
S,1.01,2.46,"Verlander, Justin"
S,-0.34,3.1,"Verlander, Justin"
B,-1.68,3.37,"Verlander, Justin"
S,1.26,0.41,"Verlander, Justin"
S,-0.18,2.38,"Verlander, Justin"
B,-0.8,4.11,"Verlander, Justin"
S,-0.51,3.61,"Verlander, Justin"
X,-0.73,2.68,"Verlander, Justin"
B,-1.61,1.72,"Verlander, Justin"
S,-1.2,3.06,"Verlander, Justin"
S,0.78,1.93,"Verlander, Justin"
S,-0.09,2.53,"Verlander, Justin"
B,1.29,0.44,"Verlander, Justin"
S,0.16,1.31,"Verlander, Justin"
S,-1.02,1.75,"Verlander, Justin"
S,1.28,1.91,"Verlander, Justin"
B,0.98,2.16,"Verlander, Justin"
S,0.04,1.76,"Verlander, Justin"
S,-0.41,2.8,"Verlander, Justin"
X,0.47,3.85,"Verlander, Justin"
S,0.52,2.3,"Verlander, Justin"
B,1.76,1.48,"Verlander, Justin"
S,0.51,3.55,"Verlander, Justin"
X,1.0,2.26,"Verlander, Justin"
B,0.69,3.72,"Verlander, Justin"
S,-0.01,2.54,"Verlander, Justin"
S,0.48,2.18,"Verlander, Justin"
S,0.78,3.03,"Verlander, Justin"
S,0.52,3.05,"Verlander, Justin"
B,1.48,2.7,"Verlander, Justin"
B,1.23,2.14,"Verlander, Justin"
S,0.19,2.54,"Verlander, Justin"
X,-0.43,2.67,"Verlander, Justin"
